epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,3205.23,1.03224,0.66927,0.91768,0.79243,0.71533,0.80701,0.62219,0.75702,0.74477,0.95801,0.000324732,0.000324732,0.000324732
124,3231.48,1.03583,0.67323,0.91656,0.78736,0.71621,0.80422,0.61535,0.75969,0.7621,0.9579,0.000313729,0.000313729,0.000313729
125,3257.16,1.0433,0.67537,0.92093,0.77238,0.73562,0.80441,0.61775,0.77244,0.7328,0.96306,0.000302727,0.000302727,0.000302727
126,3284.08,1.03167,0.66545,0.91736,0.78065,0.72773,0.8061,0.61907,0.75987,0.75634,0.96225,0.000291725,0.000291725,0.000291725
127,3309.76,1.03528,0.67312,0.91952,0.78375,0.7231,0.80337,0.61987,0.7599,0.7454,0.96899,0.000280723,0.000280723,0.000280723
128,3336.75,1.01697,0.66172,0.91298,0.78381,0.72956,0.80642,0.62026,0.77129,0.74605,0.9661,0.000269721,0.000269721,0.000269721
129,3362.45,1.02753,0.66534,0.91567,0.78539,0.72375,0.80377,0.62023,0.74627,0.73922,0.95017,0.000258718,0.000258718,0.000258718
130,3388.15,1.02611,0.66606,0.91696,0.77738,0.73079,0.80358,0.61771,0.74943,0.76059,0.95238,0.000247716,0.000247716,0.000247716
131,3413.82,1.02604,0.66775,0.9147,0.77063,0.73505,0.80329,0.61849,0.7322,0.74166,0.94267,0.000236714,0.000236714,0.000236714
132,3439.49,1.02416,0.66221,0.91244,0.77827,0.72821,0.80603,0.61949,0.74758,0.73946,0.94848,0.000225712,0.000225712,0.000225712
133,3465.23,1.01315,0.66029,0.91475,0.78494,0.72812,0.8057,0.62067,0.7449,0.7364,0.94943,0.00021471,0.00021471,0.00021471
134,3490.94,1.01677,0.65898,0.91276,0.77577,0.73236,0.80713,0.62019,0.74343,0.74445,0.95179,0.000203707,0.000203707,0.000203707
135,3516.58,1.02252,0.66277,0.91347,0.7699,0.74102,0.80505,0.62032,0.74498,0.73503,0.95648,0.000192705,0.000192705,0.000192705
136,3542.21,1.0117,0.65695,0.90874,0.78471,0.72588,0.80411,0.62117,0.7528,0.74164,0.9563,0.000181703,0.000181703,0.000181703
137,3567.91,1.01045,0.65848,0.91144,0.80576,0.7086,0.80893,0.62421,0.74019,0.72413,0.94882,0.000170701,0.000170701,0.000170701
138,3593.61,1.00952,0.65631,0.91035,0.7785,0.72716,0.80694,0.62089,0.73866,0.7462,0.94936,0.000159699,0.000159699,0.000159699
